ds,y
2017-06-17,19253
2017-06-18,16379
2017-06-19,18437
2017-06-20,20319
2017-06-21,22232
2017-06-22,22737
2017-06-23,24807
2017-06-24,25632
2017-06-25,22945
2017-06-26,22547
2017-06-27,23730
2017-06-28,23264
2017-06-29,22214
2017-06-30,24937
2017-07-01,25050
2017-07-02,22889
2017-07-03,22719
2017-07-04,24620
2017-07-05,26398
2017-07-06,26519
2017-07-07,28546
2017-07-08,25245
2017-07-09,25302
2017-07-10,23934
2017-07-11,22497
2017-07-12,21197
2017-07-13,23104
2017-07-14,23209
2017-07-15,20856
2017-07-16,21150
2017-07-17,20547
2017-07-18,18856
2017-07-19,20015
2017-07-20,22598
2017-07-21,25388
2017-07-22,24029
2017-07-23,24869
2017-07-24,26263
2017-07-25,25361
2017-07-26,24242
2017-07-27,26497
2017-07-28,26540
2017-07-29,24190
2017-07-30,24101
2017-07-31,26524
2017-08-01,25369
2017-08-02,24642
2017-08-03,26697
2017-08-04,29620
2017-08-05,30437
2017-08-06,27724
2017-08-07,20344
2017-08-08,20569
2017-08-09,27926
2017-08-10,27548
2017-08-11,25739
2017-08-12,23351
2017-08-13,23232
2017-08-14,22501
2017-08-15,20847
2017-08-16,22258
2017-08-17,21385
2017-08-18,21709
2017-08-19,22440
2017-08-20,23445
2017-08-21,26152
2017-08-22,24670
2017-08-23,24945
2017-08-24,27512
2017-08-25,28325
2017-08-26,26087
2017-08-27,25648
2017-08-28,24708
2017-08-29,23463
2017-08-30,25277
2017-08-31,27370
2017-09-01,27496
2017-09-02,25148
2017-09-03,25653
2017-09-04,24983
2017-09-05,27998
2017-09-06,25660
2017-09-07,25810
2017-09-08,25363
2017-09-09,25336
2017-09-10,22288
2017-09-11,22021
2017-09-12,20176
2017-09-13,21128
2017-09-14,19842
2017-09-15,20312
2017-09-16,20929
2017-09-17,17887
2017-09-18,17111
2017-09-19,18403
2017-09-20,20182
2017-09-21,21878
2017-09-22,23178
2017-09-23,23035
2017-09-24,21898
2017-09-25,22271
2017-09-26,21205
2017-09-27,22026
2017-09-28,21334
2017-09-29,20903
2017-09-30,21877
2017-10-01,18775
2017-10-02,19144
2017-10-03,20315
2017-10-04,22356
2017-10-05,24186
2017-10-06,24501
2017-10-07,22266
2017-10-08,20164
2017-10-09,19766
2017-10-10,20796
2017-10-11,19387
2017-10-12,18416
2017-10-13,20683
2017-10-14,17135
2017-10-15,16836
2017-10-16,17700
2017-10-17,17164
2017-10-18,16450
2017-10-19,17752
2017-10-20,20457
2017-10-21,20820
2017-10-22,18512
2017-10-23,20782
2017-10-24,22322
2017-10-25,22230
2017-10-26,20959
2017-10-27,24545
2017-10-28,22660
2017-10-29,19622
2017-10-30,21459
2017-10-31,23489
2017-11-01,22069
2017-11-02,21557
2017-11-03,23985
2017-11-04,23535
2017-11-05,22995
2017-11-06,23606
2017-11-07,22085
2017-11-08,20368
2017-11-09,21151
2017-11-10,22089
2017-11-11,18649
2017-11-12,16042
2017-11-13,17749
2017-11-14,17269
2017-11-15,16117
2017-11-16,17405
2017-11-17,17825
2017-11-18,15748
2017-11-19,15101
2017-11-20,16976
2017-11-21,18146
2017-11-22,17840
2017-11-23,19369
2017-11-24,21591
2017-11-25,19746
2017-11-26,16524
2017-11-27,18416
2017-11-28,17734
2017-11-29,17008
2017-11-30,18483
2017-12-01,19399
2017-12-02,16961
2017-12-03,16815
2017-12-04,19812
2017-12-05,21001
2017-12-06,20459
2017-12-07,20462
2017-12-08,21343
2017-12-09,21492
2017-12-10,18302
2017-12-11,17945
2017-12-12,16734
2017-12-13,17071
2017-12-14,16775
2017-12-15,19094
2017-12-16,17630
2017-12-17,14919
